49,42,259,49,244,164,55,164,Bangla,হোম
499,229,968,257,968,339,498,314,Latin,9732117944
768,77,856,77,875,222,771,208,Bangla,সু
877,78,1146,91,1136,210,907,199,Bangla,ব্যাবস্থা
1157,93,1381,93,1377,226,1174,204,Bangla,আছে
284,25,757,33,743,197,259,176,Bangla,ডেলিভারীর
3,193,486,224,483,314,3,299,None,###
1403,168,1418,169,1418,207,1403,204,None,###
989,266,1476,275,1478,355,1004,333,Latin,9735860769
1000,2,1215,0,1208,44,1002,18,None,###
283,2,348,0,362,31,328,34,None,###
756,3,953,1,955,25,780,20,None,###
1258,3,1498,2,1498,48,1263,38,None,###
500,0,549,3,546,12,508,13,None,###
588,0,643,0,626,15,590,15,None,###
