774,153,972,166,962,263,770,260,Bangla,গল্প
571,288,695,281,685,374,571,383,Latin,NOT
999,139,1324,169,1314,274,1002,265,Bangla,করিবেন
1369,193,1449,193,1441,275,1357,275,Bangla,না
456,284,542,285,542,376,456,371,Latin,DO
482,145,735,154,719,258,488,249,Bangla,অযথা
735,286,949,304,944,386,726,378,Latin,GOSSIP
989,301,1463,323,1461,396,985,383,Latin,UNNECESSARILY
847,0,1243,12,1232,105,846,79,Latin,CANTEEN
1267,19,1541,28,1535,116,1263,106,Latin,CLEAN
676,0,827,8,836,81,666,69,Latin,###
388,4,615,4,608,71,390,57,Latin,###
