1102,629,1322,627,1306,694,1094,691,Bangla,রোড,
859,617,1085,614,1091,705,859,702,Bangla,ঠাকুর
1346,438,1912,421,1886,582,1341,611,Bangla,গ্লাস
407,627,654,630,641,683,402,694,Bangla,গোপাল
674,627,827,629,835,694,676,683,Bangla,লাল
675,455,1254,439,1253,590,681,592,Bangla,তারা
375,456,627,456,609,590,379,612,Bangla,মা
1365,627,1623,631,1630,693,1337,695,Bangla,কোল-
1675,637,1825,621,1844,694,1678,705,Bangla,৩৫
1866,635,2011,605,2017,699,1861,702,Latin,Ph:
2017,624,2041,602,2044,694,2019,691,Latin,###
1990,430,2046,422,2046,462,1986,472,None,###
