1638,971,1751,975,1750,1013,1635,1011,Latin,Jubilee
815,1846,1036,1852,1035,1951,820,1946,Bangla,বাঁচান
956,188,1387,193,1380,316,953,320,Bangla,ব্যাঙ্কে
767,391,1331,394,1330,529,766,532,Bangla,রক্তদান
1351,396,1766,393,1758,528,1355,529,Bangla,করুন
631,183,937,188,943,355,632,356,Bangla,ব্লাড
158,1848,360,1838,356,1965,158,1975,Bangla,মূমুর্ষ
56,114,611,114,614,330,57,330,Bangla,সরকারী
372,1844,632,1843,636,1952,372,1954,Bangla,রোগীর
1363,963,1482,967,1482,1011,1362,1007,Latin,Venue:
650,1859,802,1865,805,1950,652,1946,Bangla,প্রাণ
1486,967,1626,970,1630,1013,1487,1011,Latin,Platinum
1335,1039,1420,1045,1418,1081,1332,1079,Latin,Date:
1430,1041,1486,1041,1478,1079,1424,1079,Latin,25/
1486,1046,1542,1039,1534,1079,1483,1081,Latin,01/
1542,1044,1614,1047,1610,1081,1534,1078,Latin,2017
1622,1043,1654,1045,1659,1081,1617,1081,Latin,at
1662,1042,1710,1047,1710,1083,1664,1082,Latin,10:
1711,1041,1755,1047,1753,1081,1714,1081,Latin,30
1755,981,1768,973,1758,1006,1756,999,Latin,###
1762,1041,1768,1049,1768,1079,1760,1077,Latin,###
1208,1651,1457,1644,1457,1893,1208,1900,Bangla,###
