624,770,703,769,698,831,631,834,Bangla,আই.
881,780,1015,769,1026,829,870,831,Bangla,কাউন্টার
557,549,705,549,684,584,557,581,Bangla,ভারত
705,551,924,555,906,583,709,584,Bangla,সরকারের
934,544,1096,550,1088,588,925,583,Bangla,অধীনস্থ
1065,422,1365,433,1344,548,1086,543,Bangla,ব্যাঙ্ক
468,763,547,767,542,829,472,823,Bangla,আই.
1104,557,1244,557,1225,588,1105,588,Bangla,সংস্থা
432,424,1054,425,1025,548,448,544,Bangla,এলাহাবাদ
706,769,875,775,875,834,706,823,Bangla,এক্সটেনশন
556,782,613,771,625,834,544,823,Bangla,এস.
1026,777,1155,791,1155,831,1026,831,Bangla,ডানলপ
1145,777,1231,780,1220,834,1155,839,Bangla,ব্রীজ
1231,785,1328,780,1322,832,1231,835,Bangla,শাখা
1704,780,1761,797,1766,861,1704,853,Latin,I.
1769,791,1823,785,1823,855,1764,855,Latin,S.
1823,785,1877,788,1865,853,1822,853,Latin,I.
1869,785,2033,796,2038,855,1877,855,Latin,EXTN.
1826,720,1890,731,1888,764,1834,764,Latin,A
1901,721,2044,721,2038,769,1898,764,Latin,###
1709,578,2041,584,2038,726,1699,723,Latin,###
