832,915,1215,915,1209,1012,824,1017,Latin,CANTEEN
439,772,857,769,851,886,426,899,Bangla,ক্যান্টিনকে
1261,789,1481,792,1468,923,1252,915,Bangla,রাখুন
392,915,614,919,609,1016,389,1010,Latin,KEEP
649,920,808,926,801,1015,650,1011,Latin,THE
908,769,1220,777,1210,907,906,901,Bangla,পরিচ্ছন্ন
1218,923,1501,917,1516,1022,1231,1017,Latin,CLEAN
479,1089,732,1094,727,1146,477,1146,Latin,###
762,1087,962,1087,947,1147,761,1144,Latin,###
994,1065,1312,1079,1306,1147,975,1146,Bangla,###
1338,1098,1425,1087,1423,1140,1339,1151,Bangla,###
