882,959,1084,951,1094,1023,884,1021,Bangla,বেলঘরিয়া,
573,781,837,778,817,953,570,960,Bangla,সংহতি
1170,750,1511,742,1509,923,1181,927,Bangla,পাঠাগার
590,974,769,968,765,1017,589,1021,Bangla,যতীনদাস
774,966,872,962,874,1020,770,1018,Bangla,নগর,
848,801,1153,795,1154,932,848,943,Bangla,সাধারণ
1090,965,1296,957,1300,1008,1101,1013,None,কলকাতা-
1316,956,1490,955,1493,1009,1316,1006,Bangla,৭০০০৫৬
746,1033,964,1026,960,1080,744,1086,Bangla,(পশ্চিমবঙ্গ
968,1032,1126,1028,1126,1071,972,1073,Bangla,সরকার
1139,1024,1313,1014,1317,1070,1140,1076,Bangla,পোষিত)
920,737,1056,732,1061,783,920,788,Bangla,###
1062,732,1160,727,1161,777,1064,781,Bangla,###
