402,890,558,891,554,957,410,960,Bangla,জন্ম
755,881,849,880,846,958,752,956,Bangla,খ্রীঃ
408,971,536,977,531,1060,407,1055,Bangla,মৃতু্্য-
565,890,744,893,738,960,565,956,Bangla,১৮৯৯
558,972,769,964,764,1040,556,1042,Bangla,১৯৭৬
712,802,1081,818,1080,883,704,880,Bangla,নজরুল
772,962,860,958,864,1038,774,1040,Bangla,খ্রীঃ
865,894,1063,898,1061,958,862,957,Bangla,২৪শে
874,962,1032,964,1036,1038,876,1041,Bangla,২৯শে
1084,893,1196,896,1200,952,1088,952,Bangla,মে।
1038,954,1210,954,1214,1038,1037,1038,Bangla,আগষ্ট।
