964,869,1046,865,1046,898,964,904,Bangla,শুক্রঃ
1050,863,1125,860,1122,897,1048,901,Bangla,সন্ধ্যা
973,804,1061,796,1066,851,977,857,Bangla,কে.
1077,785,1269,783,1263,846,1075,850,Bangla,সরকার
813,868,874,865,873,907,813,908,Bangla,প্রতি
881,781,957,783,963,859,885,860,Bangla,টি.
885,871,959,873,959,904,884,906,Bangla,সোম,
774,798,873,797,868,858,775,855,Bangla,ডাঃ
1129,863,1165,861,1169,897,1127,899,Bangla,৫-
1169,863,1193,861,1193,897,1173,900,Bangla,৭
1194,855,1231,853,1224,893,1193,896,Bangla,টা
909,626,1159,613,1175,678,914,692,Bangla,সংহতি
1074,683,1331,673,1333,736,1073,753,Bangla,চিকিৎসালয়
905,697,1059,693,1061,753,909,759,Bangla,###
721,676,894,675,901,761,713,753,Bangla,###
